858	107.7744375	140.3168856	57220	57787	2.42941E+12	2.47779E+12	2.45348E+12	1.009909058	0
800	53.509775	107.3905395	73066	71588	3.96128E+12	3.80264E+12	3.88115E+12	0.979771687	0
836	76.26466251	116.400315	111074	110549	9.15439E+12	9.06806E+12	9.11113E+12	0.995273394	0
2259	355.787706	204.0932368	115536	115937	2.41743E+13	2.43424E+13	2.42582E+13	1.00347075	0
2877	806.7269098	438.4208217	154322	156051	4.31295E+13	4.41013E+13	4.36127E+13	1.011203839	0
1226	385.6403435	171.2828071	157217	157192	1.83402E+13	1.83344E+13	1.83373E+13	0.999840973	0
892	137.7744375	137.1120944	49293	49074	1.80292E+12	1.78693E+12	1.79491E+12	0.995557117	0
29625	2074.319404	434.2324157	91049	90842	1.50131E+13	1.49449E+13	1.49789E+13	0.997726454	0
1084	245.1123978	162.7526409	153028	153437	1.73759E+13	1.74689E+13	1.74223E+13	1.002672696	0
4635	898.518181	312.9270649	78829	78114	1.12536E+13	1.10504E+13	1.11515E+13	0.990929705	0
856	99.01955001	129.6196555	44727	44559	1.48438E+12	1.47325E+12	1.4788E+12	0.996243742	0
2533	648.2953656	255.9170985	91119	91117	1.50361E+13	1.50355E+13	1.50358E+13	0.999978016	0
2075	249.2842125	232.1409208	194688	196281	6.86431E+13	6.9771E+13	6.92048E+13	1.008182312	0
1046	250.5425935	142.5873257	34661	34575	8.9143E+11	8.87011E+11	8.89218E+11	0.997518674	0
886	133.01955	104.5415032	33632	33989	8.39287E+11	8.57199E+11	8.48196E+11	1.01061468	0
2699	642.7464905	363.2504184	146972	146306	3.9119E+13	3.87653E+13	3.89417E+13	0.995468519	0
2541	415.7618744	307.4887931	159749	159874	4.62163E+13	4.62886E+13	4.62524E+13	1.000782469	0
1960	369.4934886	143.3439237	152809	152785	1.73262E+13	1.73207E+13	1.73235E+13	0.999842916	0
2915	727.944106	342.2941899	93637	94191	1.58787E+13	1.60671E+13	1.59726E+13	1.005916441	0
2593	443.3715149	228.4877272	122282	122515	2.70797E+13	2.7183E+13	2.71313E+13	1.0019054	0
3450	663.1430434	448.6521736	296517	293720	2.15234E+14	2.11193E+14	2.13204E+14	0.990567149	0
18212	6675.209007	1551.143594	998017	996582	6.90055E+15	6.88072E+15	6.89063E+15	0.998562149	0
54698	14198.32745	2621.182378	850388	848500	5.01005E+15	4.98783E+15	4.99893E+15	0.997779837	0
379350	11824.62568	2169.630476	710246	713859	3.49483E+15	3.53047E+15	3.5126E+15	1.005086969	0
16242	6280.704576	1594.688355	674916	676924	3.15578E+15	3.17459E+15	3.16517E+15	1.002975185	0
4586	1253.994549	554.9915103	385724	382852	3.64221E+14	3.58817E+14	3.61509E+14	0.99255426	0
4170	976.9284937	452.6197569	257175	254854	1.61908E+14	1.58999E+14	1.60447E+14	0.990975012	0
4768	1585.909042	547.404359	222766	222951	1.21481E+14	1.21683E+14	1.21582E+14	1.000830464	0
3318	755.98595	383.3408175	210557	210759	1.0853E+14	1.08739E+14	1.08634E+14	1.000959354	0
2988	436.8868353	347.2247614	285442	285571	1.99456E+14	1.99636E+14	1.99546E+14	1.000451925	0
14404	974.8739181	129.3327481	7672	7898	10243214422	10855541410	10543966206	1.029361075	0
3168	664.6466251	337.9810735	185135	186107	8.39051E+13	8.47885E+13	8.43457E+13	1.005250213	0
369566	26715.62221	3978.092805	480833	479539	1.60176E+15	1.59315E+15	1.59745E+15	0.997308837	0
585202	12092.24245	1350.612856	214929	213906	6.93841E+13	6.87252E+13	6.90539E+13	0.995240263	0
732272	18046.24192	2313.703554	336854	337166	7.86124E+14	7.87581E+14	7.86853E+14	1.000926215	0
4924	1473.48282	534.0987298	172635	171565	7.29574E+13	7.20558E+13	7.25052E+13	0.993801945	0
3976	1181.651408	496.7563493	282056	282519	1.94752E+14	1.95392E+14	1.95072E+14	1.001641516	0
2750	291.2842125	240.3481283	334113	332727	2.73274E+14	2.71011E+14	2.7214E+14	0.995851698	0
4700	1248.478763	399.9638396	260844	261022	1.66561E+14	1.66788E+14	1.66675E+14	1.000682394	0
8654	1815.029714	424.5099573	226387	226092	1.25463E+14	1.25136E+14	1.25299E+14	0.998696912	0
5496	1797.507168	558.997749	158405	160375	6.14256E+13	6.29629E+13	6.21895E+13	1.012436466	0
2223	361.548875	273.9406355	193239	194398	6.76251E+13	6.84388E+13	6.80307E+13	1.005997746	1
2213	366.442728	277.8736947	146688	146400	3.8968E+13	3.88151E+13	3.88915E+13	0.998036635	1
2265	397.3233125	281.1733229	173025	172150	5.42171E+13	5.36701E+13	5.39429E+13	0.994942915	1
822	74.26466251	106.3490649	79703	80678	4.71362E+12	4.82965E+12	4.77128E+12	1.012232832	1
6821	1039.931921	340.0878598	156746	156037	4.4495E+13	4.40934E+13	4.42938E+13	0.995476744	1
2551	668.520928	322.8640807	146116	145977	3.86647E+13	3.85911E+13	3.86279E+13	0.999048694	1
820	73.509775	113.6230487	62392	62170	2.88844E+12	2.86792E+12	2.87816E+12	0.996441791	1
23359	5011.766964	856.1008747	420995	420689	3.20976E+14	3.20509E+14	3.20743E+14	0.999273149	1
2361	495.6270751	290.3677898	162172	162414	4.76289E+13	4.77711E+13	4.77E+13	1.001492236	1
2997	564.4992626	291.2280279	158996	157394	4.57816E+13	4.48637E+13	4.53203E+13	0.989924267	1
3485	1170.676446	409.7836393	181983	181893	5.99764E+13	5.99171E+13	5.99467E+13	0.999505444	1
3683	963.9263334	462.0224334	225188	225018	9.18352E+13	9.16966E+13	9.17659E+13	0.999245073	1
3013	703.907831	244.0825758	78828	78729	1.12533E+13	1.1225E+13	1.12392E+13	0.998744053	1
2507	401.7692728	258.1130241	148056	146802	3.96982E+13	3.90286E+13	3.93619E+13	0.991530215	1
766	22	68.27452583	73644	72416	4.0242E+12	3.89111E+12	3.9571E+12	0.983325054	1
1632	213.0474663	178.0692169	163002	162992	3.31058E+13	3.31018E+13	3.31038E+13	0.999938627	1
3201	985.6283208	391.0733158	286913	286911	1.4908E+14	1.49078E+14	1.49079E+14	0.999993025	1
856	81.91614696	111.4270608	113270	112413	9.51995E+12	9.37644E+12	9.44792E+12	0.992433988	1
2889	478.4635321	250.3326829	135232	135092	3.3119E+13	3.30505E+13	3.30847E+13	0.99896472	1
2349	486.6466251	302.9648095	169976	171237	5.23231E+13	5.31024E+13	5.27113E+13	1.007418685	1
7175	1060.181453	452.140075	173909	174424	5.47725E+13	5.50974E+13	5.49347E+13	1.002961306	1
2591	701.9699376	331.1163983	133137	133792	3.21008E+13	3.24175E+13	3.22587E+13	1.004919737	1
836	87.01955001	99.41428891	45236	45309	1.51835E+12	1.52326E+12	1.5208E+12	1.001613611	1
982	203.913403	163.8798661	36387	36125	9.82421E+11	9.68324E+11	9.75347E+11	0.992799499	1
1030	185.8135375	108.7210604	26603	26652	5.25129E+11	5.27066E+11	5.26097E+11	1.001841593	1
890	142.2646625	128.051648	51547	51718	1.97157E+12	1.98467E+12	1.97811E+12	1.003317292	1
842	77.01955001	102.0216757	75614	76335	4.24238E+12	4.32367E+12	4.28283E+12	1.009535203	1
958	166.7939875	125.4089336	50668	51185	1.9049E+12	1.94397E+12	1.92434E+12	1.01020358	1
1120	205.662009	115.0850952	24971	24523	4.62676E+11	4.46223E+11	4.54375E+11	0.982058676	1
3615	1184.127375	424.4209829	110705	110914	2.21949E+13	2.22788E+13	2.22368E+13	1.001887885	1
848	85.77443751	114.5193866	61387	59723	2.79613E+12	2.6466E+12	2.72034E+12	0.972893227	1
4325	908.2420311	221.930257	73029	72921	9.65849E+12	9.62995E+12	9.64421E+12	0.998521044	1
9185	1221.658029	415.8195012	105509	105079	2.01603E+13	1.99963E+13	2.00782E+13	0.995924505	1
3053	950.8386644	354.0200922	85583	88309	1.32646E+13	1.41231E+13	1.36871E+13	1.031852096	1
4905	1731.785759	544.1881916	302388	302069	1.65595E+14	1.65246E+14	1.6542E+14	0.998945062	1
2596	678.7368693	349.817704	171344	173062	3.65811E+13	3.73183E+13	3.69478E+13	1.010026605	1
2251	384.8330875	233.9527444	108399	107877	2.12799E+13	2.10754E+13	2.11774E+13	0.995184429	1
2473	500.5005844	271.5764249	128126	128107	2.97299E+13	2.97211E+13	2.97255E+13	0.999851694	1
910	138.6710345	133.5557434	49085	49076	1.78773E+12	1.78708E+12	1.7874E+12	0.999816571	1
7127	2408.173853	539.9635003	375076	373817	2.54775E+14	2.53068E+14	2.5392E+14	0.996643345	1
888	136.529325	110.3189844	42641	42182	1.34915E+12	1.32026E+12	1.33463E+12	0.989235611	1
802	58	90.28113013	63570	62792	2.99854E+12	2.92559E+12	2.96184E+12	0.987761413	1
3899	679.8736395	362.6437936	205583	207272	7.65408E+13	7.78036E+13	7.71696E+13	1.008215654	1
874	125.01955	109.688166	59940	60298	2.66587E+12	2.69781E+12	2.68179E+12	1.005972583	1
