number;quantity;;;;;;;;;;;;;
-3;7666;;;;;;;;;;;;;
-2;17523;;;;;;;;;;;;;
-1;35233;;;;;;;;;;;;;
0;124201;;;;;;;;;;;;;
1;34683;;;;;;;;;;;;;
2;16609;;;;;;;;;;;;;
3;7598;;;;;;;;;;;;;
4;3336;;;;;;;;;;;;;
5;1762;;;;;;;;;;;;;
6;997;;;;;;;;;;;;;
7;630;;;;;;;;;;;;;
8;451;;;;;;;;;;;;;
9;277;;;;;;;;;;;;;
10;211;;;;;;;;;;;;;
11;162;;;;;;;;;;;;;
12;126;;;;;;;;;;;;;
13;83;;;;;;;;;;;;;
14;79;;;;;;;;;;;;;
15;76;;;;;;;;;;;;;
16;59;;;;;;;;;;;;;
17;43;;;;;;;;;;;;;
18;41;;;;;;;;;;;;;
19;34;;;;;;;;;;;;;
20;18;;;;;;;;;;;;;
21;11;;;;;;;;;;;;;
22;9;;;;;;;;;;;;;
23;5;;;;;;;;;;;;;
24;8;;;;;;;;;;;;;
25;2;;;;;;;;;;;;;
27;1;;;;;;;;;;;;;
31;1;;;;;;;;;;;;;
32;1;;;;;;;;;;;;;
;;;;;;;;;;;;;;
-84;1;;;;;;;;;;;;;
-77;2;;;;;;;;;;;;;
-76;2;;;;;;;;;;;;;
-75;1;;;;;;;;;;;;;
-74;1;;;;;;;;;;;;;
-73;2;;;;;;;;;;;;;
-72;5;;;;;;;;;;;;;
-71;2;;;;;;;;;;;;;
-70;1;;;;;;;;;;;;;
-69;1;;;;;;;;;;;;;
-68;3;;;;;;;;;;;;;
-67;3;;;;;;;;;;;;;
-65;2;;;;;;;;;;;;;
-64;5;;;;;;;;;;;;;
-63;2;;;;;;;;;;;;;
-62;4;;;;;;;;;;;;;
-61;3;;;;;;;;;;;;;
-60;6;;;;;;;;;;;;;
-59;3;;;;;;;;;;;;;
-58;5;;;;;;;;;;;;;
-57;2;;;;;;;;;;;;;
-56;5;;;;;;;;;;;;;
-55;3;;;;;;;;;;;;;
-54;6;;;;;;;;;;;;;
-53;8;;;;;;;;;;;;;
-52;18;;;;;;;;;;;;;
-51;11;;;;;;;;;;;;;
-50;8;;;;;;;;;;;;;
-49;13;;;;;;;;;;;;;
-48;17;;;;;;;;;;;;;
-47;19;;;;;;;;;;;;;
-46;23;;;;;;;;;;;;;
-45;32;;;;;;;;;;;;;
-44;33;;;;;;;;;;;;;
-43;27;;;;;;;;;;;;;
-42;35;;;;;;;;;;;;;
-41;37;;;;;;;;;;;;;
-40;54;;;;;;;;;;;;;
-39;57;;;;;;;;;;;;;
-38;67;;;;;;;;;;;;;
-37;65;;;;;;;;;;;;;
-36;77;;;;;;;;;;;;;
-35;82;;;;;;;;;;;;;
-34;95;;;;;;;;;;;;;
-33;99;;;;;;;;;;;;;
-32;101;;;;;;;;;;;;;
-31;125;;;;;;;;;;;;;
-30;146;;;;;;;;;;;;;
-29;165;;;;;;;;;;;;;
-28;151;;;;;;;;;;;;;
-27;204;;;;;;;;;;;;;
-26;208;;;;;;;;;;;;;
-25;197;;;;;;;;;;;;;
-24;256;;;;;;;;;;;;;
-23;249;;;;;;;;;;;;;
-22;291;;;;;;;;;;;;;
-21;309;;;;;;;;;;;;;
-20;343;;;;;;;;;;;;;
-19;383;;;;;;;;;;;;;
-18;406;;;;;;;;;;;;;
-17;458;;;;;;;;;;;;;
-16;526;;;;;;;;;;;;;
-15;618;;;;;;;;;;;;;
-14;727;;;;;;;;;;;;;
-13;769;;;;;;;;;;;;;
-12;938;;;;;;;;;;;;;
